FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial
59.0,4000.0,SSO,VAFB SLC 4E,3.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,3.0,B1046
60.0,2573.0,ISS,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb267a34e7c7,5.0,0.0,B1050
61.0,4400.0,MEO,CCAFS SLC 40,1.0,0.0,0.0,0.0,,5.0,0.0,B1054
62.0,9600.0,PO,VAFB SLC 4E,2.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,5.0,B1049
63.0,12259.0,ISS,KSC LC 39A,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1051
64.0,2482.0,ISS,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056
65.0,13620.0,VLEO,CCAFS SLC 40,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1049
66.0,1425.0,SSO,VAFB SLC 4E,2.0,1.0,1.0,1.0,5e9e3032383ecb554034e7c9,5.0,5.0,B1051
67.0,2227.7,ISS,CCAFS SLC 40,2.0,1.0,1.0,1.0,5e9e3032383ecb267a34e7c7,5.0,3.0,B1056
68.0,6500.0,GTO,CCAFS SLC 40,3.0,0.0,1.0,0.0,,5.0,2.0,B1047
69.0,15600.0,VLEO,CCAFS SLC 40,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048
70.0,5000.0,ISS,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1059
71.0,6800.0,GTO,CCAFS SLC 40,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056
72.0,15400.0,VLEO,CCAFS SLC 40,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1049
73.0,6104.959411764706,SO,KSC LC 39A,4.0,0.0,1.0,0.0,,5.0,3.0,B1046
74.0,15600.0,VLEO,CCAFS SLC 40,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1051
75.0,15400.0,VLEO,CCAFS SLC 40,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056
76.0,1977.0,ISS,CCAFS SLC 40,2.0,1.0,1.0,1.0,5e9e3032383ecb267a34e7c7,5.0,3.0,B1059
77.0,15600.0,VLEO,KSC LC 39A,5.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048
78.0,15400.0,VLEO,KSC LC 39A,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1051
79.0,9525.0,ISS,KSC LC 39A,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1058
80.0,15400.0,VLEO,CCAFS SLC 40,5.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,5.0,B1049
81.0,15400.0,VLEO,CCAFS SLC 40,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1059
82.0,3880.0,MEO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,2.0,B1060
83.0,6104.959411764706,GEO,CCAFS SLC 40,2.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,2.0,B1058
84.0,15400.0,VLEO,CCAFS SLC 40,6.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1049
85.0,1600.0,SSO,CCAFS SLC 40,4.0,1.0,1.0,1.0,5e9e3032383ecb267a34e7c7,5.0,3.0,B1059
86.0,15400.0,VLEO,KSC LC 39A,2.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1060
87.0,15400.0,VLEO,KSC LC 39A,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1058
88.0,15400.0,VLEO,KSC LC 39A,6.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1051
89.0,15400.0,VLEO,CCAFS SLC 40,3.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,2.0,B1060
90.0,3681.0,MEO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,0.0,B1062
